0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
21   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor Z:\apache_tools\solr-4.7.1\solr\example\contexts at interval 0
26   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: Z:\apache_tools\solr-4.7.1\solr\example\contexts\solr-jetty-context.xml
1236 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3184 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3184 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /elevate: solr.SearchHandler
3198 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3200 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3201 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3215 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: if uncommited for 15000ms; 
3216 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
3319 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@Z:\apache_tools\solr-4.7.1\solr\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@Z:\apache_tools\solr-4.7.1\solr\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
3320 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
3330 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@1e0b9770[collection1] main
3336 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Initializing spell checkers
3346 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.spelling.DirectSolrSpellChecker  – init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
3356 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – No queryConverter defined, using default converter
3358 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.component.SuggestComponent  – Initializing SuggestComponent
3359 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.spelling.suggest.SolrSuggester  – init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
3382 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.spelling.suggest.SolrSuggester  – Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
3384 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.component.QueryElevationComponent  – Loading QueryElevation from: Z:\apache_tools\solr-4.7.1\solr\example\solr\collection1\conf\elevate.xml
3427 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.ReplicationHandler  – Commits will be reserved for  10000
3428 [searcherExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@1e0b9770[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
3428 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: collection1
3431 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=Z:\apache_tools\solr-4.7.1\solr\example
3432 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
3490 [searcherExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=60 
3491 [searcherExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
